commune_norm,area_type,urban,dist_norm,pressure_norm,pond,idx_A_norm,idx_A_class,idx_B_norm,idx_B_class,idx_C_norm,idx_C_class,idx_D_norm,idx_D_class,nb_changes,stability
KOUANDE,Rural,0,0.4498916040232634,0.3181866017754014,0.5666666666666667,0.4343779258280449,Very Poor access,0.45711999464790887,Poor access,0.40325921555758776,Very Poor access,0.33962331082379704,Poor access,2,Sensitive
KPOMASSE,Rural,0,0.15986735988198106,0.03226561846102339,0.5809523809523809,0.09199945705272569,Good access,0.11102911785744364,Good access,0.07167784588338898,Good access,0.06838387979786727,Good access,0,Stable
LALO,Rural,0,0.4765432240410239,0.17105236255190837,0.55,0.37490904718742085,Poor access,0.43347039987730973,Poor access,0.3104386934815763,Poor access,0.30225189575949857,Poor access,0,Stable
LOKOSSA,Rural,0,0.10199890420410287,0.4442787454950298,0.625,0.2735357182674855,Medium access,0.20774901440376073,Good access,0.3313297712975851,Poor access,0.19178063985523536,Medium access,2,Sensitive
MALANVILLE,Rural,0,0.3472491304033497,0.24592148643093117,0.52,0.362635483503372,Poor access,0.3806888162960674,Poor access,0.33755736650135265,Poor access,0.3101192015877336,Poor access,0,Stable
MATERI,Rural,0,0.2210450418786168,0.49186278211452966,0.575,0.39575596896546866,Poor access,0.3393779023483175,Medium access,0.4418865699058212,Very Poor access,0.3045482685299142,Poor access,2,Sensitive
N'DALI,Rural,0,0.4702347225813564,0.08943204449335086,0.512,0.3467267497521514,Poor access,0.4262137438227231,Poor access,0.26263420650552716,Medium access,0.30138094730337056,Poor access,1,Slightly sensitive
NATITINGOU,Rural,0,0.465340512967903,0.058141414073989074,0.46923076923076923,0.35425052779777666,Poor access,0.44769511887339636,Poor access,0.2565154571343317,Medium access,0.3374812497524546,Poor access,1,Slightly sensitive
NIKKI,Rural,0,0.480139379220195,0.15576868003551458,0.6333333333333333,0.31697861333340394,Medium access,0.37030257855318105,Poor access,0.2587880040262116,Medium access,0.21959344589178317,Medium access,1,Slightly sensitive
OUAKE,Rural,0,0.3619542629178836,0.20347718158722655,0.55,0.32499480276949444,Medium access,0.3532555594047179,Poor access,0.2908482865540009,Medium access,0.2618312965974257,Medium access,1,Slightly sensitive
OUASSA-PEHUNCO,Rural,0,0.49788427503379873,0.30283298853694324,0.4222222222222222,0.6151390100957993,Very Poor access,0.6648200340849727,Very Poor access,0.5541883659352792,Very Poor access,0.65207746041793,Very Poor access,0,Stable
OUESSE,Rural,0,0.47404720131657424,0.15040867031773686,0.4956521739130435,0.40244756591775516,Poor access,0.4721254586708468,Poor access,0.3266578373715539,Poor access,0.3619303501587468,Very Poor access,1,Slightly sensitive
OUIDAH,Rural,0,0.309995605630393,0.13400368723549566,0.5535714285714286,0.249485293755569,Medium access,0.2805821449107165,Medium access,0.21418916271057364,Medium access,0.19928352646167827,Medium access,0,Stable
OUINHI,Rural,0,0.4337604402353302,0.14039990534639038,0.5,0.36517747127169364,Poor access,0.4271813513377876,Poor access,0.297586332090361,Medium access,0.3254416181717083,Poor access,1,Slightly sensitive
PARAKOU,Urban,1,0.4994911460559768,0.19799669494845484,0.5599999999999999,0.39765187916569256,Poor access,0.4544525391608522,Poor access,0.33440351130813045,Poor access,0.31465117873164233,Poor access,0,Stable
PERERE,Rural,0,0.1786211363648661,0.12787161080995918,0.52,0.1784329111495837,Good access,0.18435472232536468,Good access,0.16895412873463383,Good access,0.15234598413829828,Good access,0,Stable
POBE,Rural,0,0.8847213398568994,0.2916836265824679,0.5923076923076923,0.6451106182472199,Very Poor access,0.7554516409510663,Very Poor access,0.5249267035060837,Very Poor access,0.48267610057213806,Very Poor access,0,Stable
PORTO-NOVO,Urban,1,0.23888750769918607,0.47776597333917936,0.6263157894736843,0.3638129040516604,Poor access,0.3172659873093455,Medium access,0.4011186200866986,Very Poor access,0.25554203204980674,Medium access,3,Highly sensitive
SAKETE,Rural,0,0.3910785288124343,0.17310458554129007,0.5941176470588235,0.2987856076656209,Medium access,0.33570057493644173,Medium access,0.2568304593358837,Medium access,0.22152740723061937,Medium access,0,Stable
SAVALOU,Rural,0,0.4141549244863754,0.1671535511720308,0.5272727272727272,0.34986162698492035,Poor access,0.3985035981143975,Poor access,0.29550164065156953,Medium access,0.29482626707335435,Poor access,1,Slightly sensitive
SAVE,Rural,0,0.7630355368436089,0.07358021893416837,0.35,0.7801601524240958,Very Poor access,1.0,Very Poor access,0.5513480541991419,Very Poor access,1.0,Very Poor access,0,Stable
SEGBANA,Rural,0,0.34772191510551265,0.23179902786188697,0.4117647058823529,0.45174420136873267,Very Poor access,0.48010749852624723,Poor access,0.4148292265801076,Very Poor access,0.49231489302736875,Very Poor access,1,Slightly sensitive
SEME-PODJI,Rural,0,0.0647713169796348,0.3602881873156778,0.58,0.2263633859448485,Good access,0.16453820676248612,Good access,0.2813237820547662,Medium access,0.17170301360697984,Good access,1,Slightly sensitive
SINENDE,Rural,0,0.44738399429916326,0.07385453541366128,0.3523809523809524,0.47572827496824294,Very Poor access,0.5915319926242628,Very Poor access,0.3538342569116996,Poor access,0.608347444393941,Very Poor access,1,Slightly sensitive
SO-AVA,Rural,0,0.2671442435172201,0.3451387247733976,0.6,0.3224603021612132,Medium access,0.30382520375479577,Medium access,0.333672036088972,Poor access,0.23676958822676886,Medium access,1,Slightly sensitive
TANGUIETA,Rural,0,0.593815134235115,0.2051103871566499,0.5636363636363636,0.4550989521642898,Very Poor access,0.5292401114670955,Very Poor access,0.37388851642815357,Poor access,0.35791099091423195,Poor access,2,Sensitive
TCHAOUROU,Rural,0,0.5629040050196177,0.2522757887295833,0.525,0.5002972544773124,Very Poor access,0.5637560107324553,Very Poor access,0.4284549163184868,Very Poor access,0.42379726860568767,Very Poor access,0,Stable
TOFFO,Rural,0,0.30540946532453705,0.07602956738585644,0.5826086956521739,0.2002509532083059,Good access,0.2395173074299134,Good access,0.15809937295545692,Good access,0.15089873069067286,Good access,0,Stable
TORI BOSSITO,Rural,0,0.2942016397030974,0.19396143203895447,0.55,0.27805471009806665,Medium access,0.2941315310275582,Medium access,0.25666735753056397,Medium access,0.2238191681433503,Medium access,0,Stable
TOUKOUNTOUNA,Rural,0,0.08591165033837032,0.1696678517856586,0.6,0.12382293740174793,Good access,0.10278855795900485,Good access,0.14153594297564837,Good access,0.08931760111531452,Good access,0,Stable
TOVIKLIN,Rural,0,0.0,0.20158799431585997,0.5583333333333333,0.10213418231265534,Good access,0.05612633852931459,Good access,0.14443018028818985,Good access,0.0799004960554999,Good access,0,Stable
ZA-KPOTA,Rural,0,0.6294589007186655,0.3574582849192634,0.6,0.531082759583145,Very Poor access,0.5792366161121285,Very Poor access,0.47337773317524373,Very Poor access,0.39163368411421084,Very Poor access,0,Stable
ZAGNANADO,Rural,0,0.29519489209103356,0.05555904667303904,0.5928571428571429,0.17917600498719463,Good access,0.21947848844373882,Good access,0.13646729455283682,Good access,0.13217509634247265,Good access,0,Stable
ZE,Rural,0,0.31742435656346263,0.17187772136820625,0.525,0.2929013261066269,Medium access,0.3197253764085335,Medium access,0.26081867713180873,Medium access,0.24785027210429278,Medium access,0,Stable
ZOGBODOMEY,Rural,0,0.5017433944017563,0.08576156306465986,0.43499999999999994,0.4327587651171664,Poor access,0.5366459516671115,Very Poor access,0.32328195586076724,Poor access,0.44570684459618765,Very Poor access,2,Sensitive
