commune_norm,area_type,urban,idx_A_norm,idx_A_class,dist_norm,pressure_norm,pond
KARIMAMA,Rural,0,0.29934820248528377,Medium access,0.22620041276308803,0.290219014174655,0.5428571428571428
KEROU,Rural,0,0.2239972389373481,Good access,0.27227780246758543,0.15411766857635556,0.5875
KETOU,Rural,0,0.7420301626379483,Very Poor access,1.0,0.16655799143973596,0.5125
KLOUEKANMEY,Rural,0,0.3274703918855784,Medium access,0.2949851331448031,0.2292197381547593,0.50625
KOUANDE,Rural,0,0.4343779258280449,Very Poor access,0.4498916040232634,0.3181866017754014,0.5666666666666667
KPOMASSE,Rural,0,0.09199945705272569,Good access,0.15986735988198106,0.03226561846102339,0.5809523809523809
LALO,Rural,0,0.37490904718742085,Poor access,0.4765432240410239,0.17105236255190837,0.55
LOKOSSA,Rural,0,0.2735357182674855,Medium access,0.10199890420410287,0.4442787454950298,0.625
MALANVILLE,Rural,0,0.362635483503372,Poor access,0.3472491304033497,0.24592148643093117,0.52
MATERI,Rural,0,0.39575596896546866,Poor access,0.2210450418786168,0.49186278211452966,0.575
N'DALI,Rural,0,0.3467267497521514,Poor access,0.4702347225813564,0.08943204449335086,0.512
NATITINGOU,Rural,0,0.35425052779777666,Poor access,0.465340512967903,0.058141414073989074,0.46923076923076923
NIKKI,Rural,0,0.31697861333340394,Medium access,0.480139379220195,0.15576868003551458,0.6333333333333333
OUAKE,Rural,0,0.32499480276949444,Medium access,0.3619542629178836,0.20347718158722655,0.55
OUASSA-PEHUNCO,Rural,0,0.6151390100957993,Very Poor access,0.49788427503379873,0.30283298853694324,0.4222222222222222
OUESSE,Rural,0,0.40244756591775516,Poor access,0.47404720131657424,0.15040867031773686,0.4956521739130435
OUIDAH,Rural,0,0.249485293755569,Medium access,0.309995605630393,0.13400368723549566,0.5535714285714286
OUINHI,Rural,0,0.36517747127169364,Poor access,0.4337604402353302,0.14039990534639038,0.5
PARAKOU,Urban,1,0.39765187916569256,Poor access,0.4994911460559768,0.19799669494845484,0.5599999999999999
PERERE,Rural,0,0.1784329111495837,Good access,0.1786211363648661,0.12787161080995918,0.52
POBE,Rural,0,0.6451106182472199,Very Poor access,0.8847213398568994,0.2916836265824679,0.5923076923076923
PORTO-NOVO,Urban,1,0.3638129040516604,Poor access,0.23888750769918607,0.47776597333917936,0.6263157894736843
SAKETE,Rural,0,0.2987856076656209,Medium access,0.3910785288124343,0.17310458554129007,0.5941176470588235
SAVALOU,Rural,0,0.34986162698492035,Poor access,0.4141549244863754,0.1671535511720308,0.5272727272727272
SAVE,Rural,0,0.7801601524240958,Very Poor access,0.7630355368436089,0.07358021893416837,0.35
SEGBANA,Rural,0,0.45174420136873267,Very Poor access,0.34772191510551265,0.23179902786188697,0.4117647058823529
SEME-PODJI,Rural,0,0.2263633859448485,Good access,0.0647713169796348,0.3602881873156778,0.58
SINENDE,Rural,0,0.47572827496824294,Very Poor access,0.44738399429916326,0.07385453541366128,0.3523809523809524
SO-AVA,Rural,0,0.3224603021612132,Medium access,0.2671442435172201,0.3451387247733976,0.6
TANGUIETA,Rural,0,0.4550989521642898,Very Poor access,0.593815134235115,0.2051103871566499,0.5636363636363636
TCHAOUROU,Rural,0,0.5002972544773124,Very Poor access,0.5629040050196177,0.2522757887295833,0.525
TOFFO,Rural,0,0.2002509532083059,Good access,0.30540946532453705,0.07602956738585644,0.5826086956521739
TORI BOSSITO,Rural,0,0.27805471009806665,Medium access,0.2942016397030974,0.19396143203895447,0.55
TOUKOUNTOUNA,Rural,0,0.12382293740174793,Good access,0.08591165033837032,0.1696678517856586,0.6
TOVIKLIN,Rural,0,0.10213418231265534,Good access,0.0,0.20158799431585997,0.5583333333333333
ZA-KPOTA,Rural,0,0.531082759583145,Very Poor access,0.6294589007186655,0.3574582849192634,0.6
ZAGNANADO,Rural,0,0.17917600498719463,Good access,0.29519489209103356,0.05555904667303904,0.5928571428571429
ZE,Rural,0,0.2929013261066269,Medium access,0.31742435656346263,0.17187772136820625,0.525
ZOGBODOMEY,Rural,0,0.4327587651171664,Poor access,0.5017433944017563,0.08576156306465986,0.43499999999999994
